lat;lon;validdate;t_2m:C;relative_humidity_2m:p;wind_speed_10m:kmh;air_density_10m:kgm3;precip_24h:mm;co:ugm3
37.008677;-91.580004;2020-05-08T12:00:00Z;10.2;99.9;4.7;1.190;14.47;157.908
37.008677;-91.580004;2020-05-09T12:00:00Z;4.1;76.1;8.5;1.234;0.00;157.282
37.008677;-91.580004;2020-05-10T12:00:00Z;8.8;85.9;12.0;1.209;0.00;151.670
37.008677;-91.580004;2020-05-11T12:00:00Z;4.6;76.3;8.8;1.234;0.00;142.464
37.008677;-91.580004;2020-05-12T12:00:00Z;6.2;95.5;7.8;1.224;1.30;132.048
37.008677;-91.580004;2020-05-13T12:00:00Z;9.5;100.0;8.3;1.202;8.77;144.080
37.008677;-91.580004;2020-05-14T12:00:00Z;17.6;96.6;14.4;1.162;8.80;143.965
37.008677;-91.580004;2020-05-15T12:00:00Z;18.1;99.7;16.4;1.156;31.53;136.038
37.008677;-91.580004;2020-05-16T12:00:00Z;16.8;98.4;7.8;1.162;25.80;124.795
37.008677;-91.580004;2020-05-17T12:00:00Z;17.4;100.0;12.4;1.153;51.73;123.511
37.008677;-91.580004;2020-05-18T12:00:00Z;12.1;86.0;11.8;1.181;18.50;130.464
37.008677;-91.580004;2020-05-19T12:00:00Z;12.6;85.5;11.3;1.180;0.00;144.503
37.008677;-91.580004;2020-05-20T12:00:00Z;13.6;94.4;8.5;1.178;0.00;167.564
37.008677;-91.580004;2020-05-21T12:00:00Z;13.7;94.4;7.8;1.180;0.00;141.426
37.008677;-91.580004;2020-05-22T12:00:00Z;15.0;97.2;9.6;1.171;2.87;166.823
37.008677;-91.580004;2020-05-23T12:00:00Z;18.1;97.8;13.0;1.157;22.27;141.891
37.008677;-91.580004;2020-05-24T12:00:00Z;18.6;93.3;10.3;1.156;0.00;152.537
37.008677;-91.580004;2020-05-25T12:00:00Z;19.4;93.6;9.6;1.151;0.70;135.760
37.008677;-91.580004;2020-05-26T12:00:00Z;20.5;83.6;16.1;1.145;9.33;122.313
37.008677;-91.580004;2020-05-27T12:00:00Z;18.4;100.0;5.8;1.154;19.83;133.611
37.008677;-91.580004;2020-05-28T12:00:00Z;16.7;95.3;8.2;1.161;13.53;163.572
37.008677;-91.580004;2020-05-29T12:00:00Z;16.2;88.1;14.4;1.171;4.43;140.572
37.008677;-91.580004;2020-05-30T12:00:00Z;13.2;85.2;8.2;1.189;0.00;126.216
37.008677;-91.580004;2020-05-31T12:00:00Z;14.5;83.8;7.7;1.185;0.00;130.012
37.008677;-91.367428;2020-03-15T12:00:00Z;1.9;84.8;12.3;1.254;21.76;145.956
37.008677;-91.367428;2020-03-16T12:00:00Z;1.6;83.2;7.9;1.247;0.01;149.626
37.008677;-91.367428;2020-03-17T12:00:00Z;5.4;98.8;9.8;1.228;12.25;150.869
37.008677;-91.367428;2020-03-18T12:00:00Z;7.7;99.6;12.2;1.207;5.81;168.038
37.008677;-91.367428;2020-03-19T12:00:00Z;15.9;100.0;14.4;1.167;5.90;101.612
37.008677;-91.367428;2020-03-20T12:00:00Z;14.5;77.5;13.6;1.177;24.56;113.224
37.008677;-91.367428;2020-03-21T12:00:00Z;1.6;68.2;10.3;1.256;0.01;132.455
37.008677;-91.367428;2020-03-22T12:00:00Z;1.3;82.9;8.7;1.250;0.43;160.213
37.008677;-91.367428;2020-03-23T12:00:00Z;4.6;96.9;7.9;1.225;10.68;175.392
37.008677;-91.367428;2020-03-24T12:00:00Z;5.8;89.7;14.5;1.213;0.50;185.776
37.008677;-91.367428;2020-03-25T12:00:00Z;6.7;97.4;5.2;1.211;12.04;190.021
37.008677;-91.367428;2020-03-26T12:00:00Z;9.7;97.3;14.2;1.188;0.01;180.929
37.008677;-91.367428;2020-03-27T12:00:00Z;16.7;87.0;10.3;1.153;0.00;140.016
37.008677;-91.367428;2020-03-28T12:00:00Z;19.8;80.6;17.4;1.141;0.50;139.429
37.008677;-91.367428;2020-03-29T12:00:00Z;8.4;58.6;18.6;1.203;9.98;124.009
37.008677;-91.367428;2020-03-30T12:00:00Z;7.0;73.5;9.3;1.216;0.00;150.845
37.008677;-91.367428;2020-03-31T12:00:00Z;8.5;99.3;2.7;1.202;17.85;121.742
37.008677;-91.367428;2020-04-01T12:00:00Z;3.1;93.7;8.2;1.228;1.59;153.960
37.008677;-91.367428;2020-04-02T12:00:00Z;8.2;73.4;10.2;1.208;0.04;166.138
37.008677;-91.367428;2020-04-03T12:00:00Z;11.1;95.4;7.7;1.192;7.90;161.998
37.008677;-91.367428;2020-04-04T12:00:00Z;4.9;88.8;14.5;1.225;2.70;140.340
37.008677;-91.367428;2020-04-05T12:00:00Z;6.7;96.5;3.1;1.214;3.93;153.930
37.008677;-91.367428;2020-04-06T12:00:00Z;9.0;96.7;8.5;1.202;0.16;187.213
37.008677;-91.367428;2020-04-07T12:00:00Z;14.7;97.8;10.6;1.170;0.61;162.344
37.008677;-91.367428;2020-04-08T12:00:00Z;15.6;96.3;9.1;1.161;0.74;141.305
37.008677;-91.367428;2020-04-09T12:00:00Z;8.5;65.1;11.3;1.205;0.60;117.703
37.008677;-91.367428;2020-04-10T12:00:00Z;0.7;54.2;9.0;1.248;0.00;110.783
37.008677;-91.367428;2020-04-11T12:00:00Z;4.5;61.5;10.6;1.222;0.00;138.716
37.008677;-91.367428;2020-04-12T12:00:00Z;11.2;99.5;12.1;1.179;9.22;133.479
37.008677;-91.367428;2020-04-13T12:00:00Z;0.4;61.2;24.0;1.242;9.94;129.457
37.008677;-91.367428;2020-04-14T12:00:00Z;1.3;89.0;7.6;1.249;3.12;138.112
37.008677;-91.367428;2020-04-15T12:00:00Z;1.4;67.2;13.0;1.240;0.02;155.271
37.008677;-91.367428;2020-04-16T12:00:00Z;1.0;61.6;10.4;1.248;0.24;168.698
37.008677;-91.367428;2020-04-17T12:00:00Z;9.2;72.6;13.8;1.200;0.95;148.928
37.008677;-91.367428;2020-04-18T12:00:00Z;-0.6;83.8;7.5;1.251;1.64;160.602
37.008677;-91.367428;2020-04-19T12:00:00Z;7.8;98.8;4.0;1.198;4.93;163.555
37.008677;-91.367428;2020-04-20T12:00:00Z;6.4;86.5;8.9;1.204;0.37;169.594
37.008677;-91.367428;2020-04-21T12:00:00Z;9.5;82.1;14.0;1.195;5.99;153.547
37.008677;-91.367428;2020-04-22T12:00:00Z;9.5;53.5;11.3;1.199;0.00;136.623
37.008677;-91.367428;2020-04-23T12:00:00Z;11.4;100.0;8.5;1.172;16.20;138.885
37.008677;-91.367428;2020-04-24T12:00:00Z;9.2;84.5;9.4;1.190;0.84;211.089
37.008677;-91.367428;2020-04-25T12:00:00Z;10.8;99.8;2.4;1.177;18.15;138.171
37.008677;-91.367428;2020-04-26T12:00:00Z;5.9;76.7;11.9;1.221;3.58;118.573
37.008677;-91.367428;2020-04-27T12:00:00Z;10.4;69.1;10.1;1.203;0.13;157.681
37.008677;-91.367428;2020-04-28T12:00:00Z;12.8;88.9;13.6;1.182;1.60;143.429
37.008677;-91.367428;2020-04-29T12:00:00Z;11.3;91.7;17.9;1.181;12.09;132.432
37.008677;-91.367428;2020-04-30T12:00:00Z;9.0;72.8;15.2;1.201;2.13;126.791
37.008677;-91.367428;2020-05-01T12:00:00Z;10.1;73.5;5.1;1.195;0.00;191.520
37.008677;-91.367428;2020-05-02T12:00:00Z;14.9;81.2;11.5;1.174;0.00;135.438
37.008677;-91.367428;2020-05-03T12:00:00Z;18.1;89.9;10.9;1.156;0.00;142.354
37.008677;-91.367428;2020-05-04T12:00:00Z;13.1;65.9;10.2;1.183;5.36;147.894
37.008677;-91.367428;2020-05-05T12:00:00Z;13.4;91.0;20.4;1.177;18.64;159.247
37.008677;-91.367428;2020-05-06T12:00:00Z;8.5;77.8;15.0;1.211;0.06;144.216
37.008677;-91.367428;2020-05-07T12:00:00Z;7.3;84.5;8.6;1.215;0.07;162.306
37.008677;-91.367428;2020-05-08T12:00:00Z;10.3;99.2;4.8;1.189;12.44;158.234
37.008677;-91.367428;2020-05-09T12:00:00Z;4.2;73.0;8.6;1.233;1.13;155.239
37.008677;-91.367428;2020-05-10T12:00:00Z;8.9;84.7;12.4;1.209;0.00;150.795
37.008677;-91.367428;2020-05-11T12:00:00Z;4.7;75.6;8.9;1.234;0.00;140.151
37.008677;-91.367428;2020-05-12T12:00:00Z;6.4;94.0;7.5;1.224;6.30;132.717
37.008677;-91.367428;2020-05-13T12:00:00Z;9.5;99.6;9.2;1.203;14.95;145.530
37.008677;-91.367428;2020-05-14T12:00:00Z;17.2;98.1;14.1;1.164;2.05;148.053
37.008677;-91.367428;2020-05-15T12:00:00Z;18.1;99.2;16.6;1.156;1.88;137.346
37.008677;-91.367428;2020-05-16T12:00:00Z;16.9;97.3;8.5;1.161;4.70;127.648
37.008677;-91.367428;2020-05-17T12:00:00Z;17.5;100.0;12.9;1.153;34.76;124.351
37.008677;-91.367428;2020-05-18T12:00:00Z;12.0;86.1;11.9;1.181;2.95;130.016
37.008677;-91.367428;2020-05-19T12:00:00Z;12.6;86.2;11.1;1.180;0.18;144.920
37.008677;-91.367428;2020-05-20T12:00:00Z;13.9;94.4;9.0;1.177;0.69;167.447
37.008677;-91.367428;2020-05-21T12:00:00Z;13.7;93.9;8.9;1.180;0.55;141.941
37.008677;-91.367428;2020-05-22T12:00:00Z;15.0;96.7;9.3;1.171;5.85;170.606
37.008677;-91.367428;2020-05-23T12:00:00Z;18.2;97.8;14.4;1.156;12.77;146.416
37.008677;-91.367428;2020-05-24T12:00:00Z;18.9;91.0;11.2;1.155;0.11;153.289
37.008677;-91.367428;2020-05-25T12:00:00Z;19.6;91.6;10.2;1.150;1.62;141.846
37.008677;-91.367428;2020-05-26T12:00:00Z;20.4;82.9;15.3;1.146;5.89;126.554
37.008677;-91.367428;2020-05-27T12:00:00Z;18.2;100.0;5.0;1.154;11.37;140.946
37.008677;-91.367428;2020-05-28T12:00:00Z;17.0;93.4;8.3;1.160;11.56;162.418
37.008677;-91.367428;2020-05-29T12:00:00Z;16.2;91.3;14.3;1.170;4.44;139.537
37.008677;-91.367428;2020-05-30T12:00:00Z;13.0;84.9;7.7;1.190;0.00;126.054
37.008677;-91.367428;2020-05-31T12:00:00Z;14.5;82.2;7.1;1.186;0.00;129.872
37.008677;-91.154853;2020-03-15T12:00:00Z;2.5;82.1;11.8;1.262;21.89;144.889
37.008677;-91.154853;2020-03-16T12:00:00Z;2.0;82.2;7.1;1.256;0.00;151.954
